x, Bphi, vr, vz, rho, Omega, Psi, T, P, Bphi', vr', vz', rho', Omega', Psi', T', P'
        0.000000000000000E+000,        0.000000000000000E+000,        1.000000000000000E+000,        0.000000000000000E+000,        1.000000000000000E+000,        1.000000000000000E+000,        1.000000000000000E+000,        1.000000000000000E+000,        1.000000000000000E+000,       -1.000000000000000E+000,        0.000000000000000E+000,       -9.998380000000000E-001,        0.000000000000000E+000,        0.000000000000000E+000,        0.000000000000000E+000,        0.000000000000000E+000,        0.000000000000000E+000
        1.000000000000000E-004,       -9.999999708902989E-005,        1.000000007687096E+000,       -9.998380076781342E-005,        9.999999208618663E-001,        9.999999813728228E-001,        9.999999983449432E-001,        1.000000002206504E+000,        9.999999230683703E-001,       -9.999999126708965E-001,        1.572317935161402E-004,       -9.998380232554887E-001,       -9.477879250101212E-003,       -3.725219163208325E-004,       -3.310113546623123E-005,        4.412948908493224E-005,       -9.433749785421585E-003
        1.010000000000000E-002,       -1.009840563030629E-002,        1.000046430644879E+000,       -1.009883179347762E-002,        9.993804741067760E-001,        9.998545196848847E-001,        9.999831151121292E-001,        1.000022511184603E+000,        9.994029715958596E-001,       -9.993097920389215E-001,        1.504003765394681E-002,       -1.000036065554842E+000,       -1.599030805745940E-001,       -3.710148236391691E-002,       -3.343324056936572E-003,        4.457459624717686E-003,       -1.554519820692972E-001
        2.010000000000000E-002,       -2.007977344007330E-002,        1.000273186938548E+000,       -2.010222810419898E-002,        9.969936882136526E-001,        9.992918658959647E-001,        9.999331228476872E-001,        1.000089166851653E+000,        9.970825878811596E-001,       -9.966708300730506E-001,        2.978016688776785E-002,       -1.000708683062832E+000,       -3.180690313342865E-001,       -7.504920776520869E-002,       -6.654596249493749E-003,        8.873221037987884E-003,       -3.092508471794205E-001
        3.010000000000000E-002,       -3.002594356213686E-002,        1.000636105249868E+000,       -3.011424691715608E-002,        9.930255592746561E-001,        9.983538650001546E-001,        9.998500106298961E-001,        1.000199999209646E+000,        9.932241651153736E-001,       -9.922688474696737E-001,        4.242071333753475E-002,       -1.001748518797048E+000,       -4.756281672920890E-001,       -1.126211777646509E-001,       -9.967993263692703E-003,        1.329387351262785E-002,       -4.625221363698290E-001
        4.010000000000000E-002,       -3.991922135163855E-002,        1.001112653187411E+000,       -4.013806424166420E-002,        9.874825694309919E-001,        9.970382860357044E-001,        9.997337498512640E-001,        1.000355072122664E+000,        9.878331996266125E-001,       -9.860891657403208E-001,        5.235815176107889E-002,       -1.003045835498282E+000,       -6.327887269515559E-001,       -1.505470753228839E-001,       -1.328449964874465E-002,        1.772175875010416E-002,       -6.155134847226430E-001
        5.010000000000001E-002,       -4.974172036822207E-002,        1.001671098239579E+000,       -5.017549332780939E-002,        9.803710966604789E-001,        9.953414712179323E-001,        9.995843049781455E-001,        1.000554469009772E+000,        9.809146861746250E-001,       -9.781087990140044E-001,        5.863173042198125E-002,       -1.004439652109873E+000,       -7.893187392510229E-001,       -1.888873657235194E-001,       -1.660500978993359E-002,        2.215910497488787E-002,       -7.680322459855246E-001
        6.010000000000001E-002,       -5.947529685088408E-002,        1.002269439647711E+000,       -6.022646078417511E-002,        9.716997634345703E-001,        9.932590073123130E-001,        9.994016320636477E-001,        1.000798294903886E+000,        9.724754719389045E-001,       -9.682994367402403E-001,        6.016472479395112E-002,       -1.005713314639028E+000,       -9.447750949248300E-001,       -2.276964782011354E-001,       -1.993029496580805E-002,        2.660798432292273E-002,       -9.196743319963726E-001
        7.010000000000001E-002,       -6.910149987504779E-002,        1.002854531106575E+000,       -7.028843167752521E-002,        9.614796090734810E-001,        9.907859218487471E-001,        9.991856799709754E-001,        1.001086674909072E+000,        9.625244318189105E-001,       -9.566282842969424E-001,        5.577199947355575E-002,       -1.006588345297655E+000,       -1.099023806251511E+000,       -2.670102931718034E-001,       -2.326096692956633E-002,        3.107026559976922E-002,       -1.070344661023561E+000
        8.010000000000000E-002,       -7.860153395699988E-002,        1.003361006877865E+000,       -8.035576601439932E-002,        9.497244984743439E-001,        9.879169887239940E-001,        9.989363925717317E-001,        1.001419751368781E+000,        9.510728794370013E-001,       -9.430593983274291E-001,        4.421027481215333E-002,       -1.006721977271010E+000,       -1.251750817446571E+000,       -3.068576788473849E-001,       -2.659743765288317E-002,        3.554756159977445E-002,       -1.219767602270681E+000
        9.010000000000000E-002,       -8.795623497593087E-002,        1.003710078460934E+000,       -9.041899933230173E-002,        9.364515154843519E-001,        9.846470935363780E-001,        9.986537108132333E-001,        1.001797681208210E+000,        9.381349659152401E-001,       -9.275552962636462E-001,        2.404348110864437E-002,       -1.005690911796428E+000,       -1.402542755974039E+000,       -3.471943542533866E-001,       -2.993987471539003E-002,        4.004117023713023E-002,       -1.367567466179837E+000
        1.001000000000000E-001,       -9.714606496353075E-002,        1.003808218631646E+000,       -1.004640397310981E-001,        9.216815555582836E-001,        9.809717230833558E-001,        9.983375753458239E-001,        1.002220632553636E+000,        9.237282811774379E-001,       -9.100791415997096E-001,       -6.243781436004084E-003,       -1.002991716247581E+000,       -1.551065439690490E+000,       -3.879370552581465E-001,       -3.328815169688900E-002,        4.455200705731088E-002,       -1.513447022930861E+000
        1.101000000000000E-001,       -1.061511310638405E-001,        1.003545833828895E+000,       -1.104712846625823E-001,        9.054398749256979E-001,        9.768875300681814E-001,        9.979879297773149E-001,        1.002688780465197E+000,        9.078744136527332E-001,       -8.905972949563394E-001,       -4.834565666172656E-002,       -9.980245878754671E-001,       -1.696771244921931E+000,       -4.289292655522526E-001,       -3.664179319110723E-002,        4.908053053935580E-002,       -1.656894020866343E+000
