 x, Bphi, vr, vz, rho, Omega, Psi, T, P
 0.0000000E+00, 0.0000000E+00, 0.1000000E+01, 0.0000000E+00, 0.1000000E+01, 0.1000000E+01, 0.1000000E+01, 0.1000000E+01, 0.1000000E+01
 0.1000000E-03, -.1000000E-03, 0.1000000E+01, -.9962010E-04, 0.9999999E+00, 0.1000000E+01, 0.1000000E+01, 0.1000000E+01, 0.9999999E+00
 0.1010000E-01, -.1009819E-01, 0.1000005E+01, -.1006166E-01, 0.9994728E+00, 0.9999036E+00, 0.9999868E+00, 0.1000018E+01, 0.9994904E+00
 0.2010000E-01, -.2008383E-01, 0.1000031E+01, -.2002415E-01, 0.9977979E+00, 0.9995970E+00, 0.9999478E+00, 0.1000069E+01, 0.9978672E+00
 0.3010000E-01, -.3004439E-01, 0.1000067E+01, -.2998728E-01, 0.9950154E+00, 0.9990869E+00, 0.9998829E+00, 0.1000156E+01, 0.9951704E+00
 0.4010000E-01, -.3996726E-01, 0.1000100E+01, -.3995076E-01, 0.9911279E+00, 0.9983724E+00, 0.9997921E+00, 0.1000277E+01, 0.9914020E+00
 0.5010000E-01, -.4983980E-01, 0.1000114E+01, -.4991359E-01, 0.9861392E+00, 0.9974528E+00, 0.9996755E+00, 0.1000432E+01, 0.9865650E+00
 0.6010000E-01, -.5964923E-01, 0.1000087E+01, -.5987376E-01, 0.9800540E+00, 0.9963266E+00, 0.9995330E+00, 0.1000621E+01, 0.9806632E+00
 0.7010000E-01, -.6938262E-01, 0.9999896E+00, -.6982798E-01, 0.9728787E+00, 0.9949927E+00, 0.9993645E+00, 0.1000846E+01, 0.9737017E+00
 0.8010000E-01, -.7902689E-01, 0.9997900E+00, -.7977142E-01, 0.9646206E+00, 0.9934497E+00, 0.9991701E+00, 0.1001105E+01, 0.9656865E+00
 0.9010000E-01, -.8856876E-01, 0.9994483E+00, -.8969732E-01, 0.9552890E+00, 0.9916963E+00, 0.9989497E+00, 0.1001399E+01, 0.9566252E+00
 0.1001000E+00, -.9799477E-01, 0.9989185E+00, -.9959671E-01, 0.9448946E+00, 0.9897312E+00, 0.9987032E+00, 0.1001727E+01, 0.9465268E+00
 0.1101000E+00, -.1072913E+00, 0.9981479E+00, -.1094580E+00, 0.9334501E+00, 0.9875537E+00, 0.9984308E+00, 0.1002091E+01, 0.9354020E+00
 0.1201000E+00, -.1164444E+00, 0.9970765E+00, -.1192667E+00, 0.9209707E+00, 0.9851633E+00, 0.9981322E+00, 0.1002489E+01, 0.9232636E+00
 0.1301000E+00, -.1254403E+00, 0.9956366E+00, -.1290049E+00, 0.9074735E+00, 0.9825603E+00, 0.9978076E+00, 0.1002923E+01, 0.9101264E+00
 0.1401000E+00, -.1342646E+00, 0.9937531E+00, -.1386507E+00, 0.8929786E+00, 0.9797461E+00, 0.9974568E+00, 0.1003392E+01, 0.8960081E+00
 0.1501000E+00, -.1429033E+00, 0.9913427E+00, -.1481782E+00, 0.8775092E+00, 0.9767229E+00, 0.9970800E+00, 0.1003897E+01, 0.8809288E+00
 0.1601000E+00, -.1513420E+00, 0.9883141E+00, -.1575570E+00, 0.8610917E+00, 0.9734945E+00, 0.9966770E+00, 0.1004437E+01, 0.8649122E+00
 0.1701000E+00, -.1595666E+00, 0.9845688E+00, -.1667513E+00, 0.8437563E+00, 0.9700666E+00, 0.9962478E+00, 0.1005012E+01, 0.8479855E+00
 0.1801000E+00, -.1675631E+00, 0.9800009E+00, -.1757206E+00, 0.8255375E+00, 0.9664467E+00, 0.9957926E+00, 0.1005623E+01, 0.8301798E+00
