 x, Bphi, vr, vz, rho, Omega, Psi, T, P
 0.0000000E+00, 0.0000000E+00, 0.1000000E+01, 0.0000000E+00, 0.1000000E+01, 0.1000000E+01, 0.1000000E+01, 0.1000000E+01, 0.1000000E+01
 0.1000000E-03, -.1000000E-03, 0.1000000E+01, -.9924900E-04, 0.9999999E+00, 0.1000000E+01, 0.1000000E+01, 0.1000000E+01, 0.1000000E+01
 0.1010000E-01, -.1009976E-01, 0.1000366E+01, -.1002786E-01, 0.9995264E+00, 0.9999866E+00, 0.9999782E+00, 0.1000029E+01, 0.9995553E+00
 0.2010000E-01, -.2009791E-01, 0.1001602E+01, -.1998103E-01, 0.9979597E+00, 0.9999424E+00, 0.9999137E+00, 0.1000114E+01, 0.9980740E+00
 0.3010000E-01, -.3009281E-01, 0.1003664E+01, -.2998331E-01, 0.9953566E+00, 0.9998687E+00, 0.9998064E+00, 0.1000257E+01, 0.9956123E+00
 0.4010000E-01, -.4008283E-01, 0.1006558E+01, -.4005958E-01, 0.9917186E+00, 0.9997648E+00, 0.9996562E+00, 0.1000456E+01, 0.9921711E+00
 0.5010000E-01, -.5006627E-01, 0.1010298E+01, -.5023524E-01, 0.9870481E+00, 0.9996299E+00, 0.9994630E+00, 0.1000713E+01, 0.9877518E+00
 0.6010000E-01, -.6004141E-01, 0.1014900E+01, -.6053633E-01, 0.9813479E+00, 0.9994632E+00, 0.9992265E+00, 0.1001027E+01, 0.9823558E+00
 0.7010000E-01, -.7000645E-01, 0.1020383E+01, -.7098982E-01, 0.9746216E+00, 0.9992632E+00, 0.9989466E+00, 0.1001399E+01, 0.9759854E+00
 0.8010000E-01, -.7995951E-01, 0.1026771E+01, -.8162384E-01, 0.9668734E+00, 0.9990285E+00, 0.9986229E+00, 0.1001830E+01, 0.9686428E+00
 0.9010000E-01, -.8989863E-01, 0.1034091E+01, -.9246772E-01, 0.9581083E+00, 0.9987571E+00, 0.9982551E+00, 0.1002320E+01, 0.9603309E+00
 0.1001000E+00, -.9982172E-01, 0.1042377E+01, -.1035524E+00, 0.9483318E+00, 0.9984469E+00, 0.9978428E+00, 0.1002869E+01, 0.9510528E+00
 0.1101000E+00, -.1097266E+00, 0.1051665E+01, -.1149107E+00, 0.9375503E+00, 0.9980952E+00, 0.9973857E+00, 0.1003479E+01, 0.9408122E+00
 0.1201000E+00, -.1196108E+00, 0.1061998E+01, -.1265773E+00, 0.9257708E+00, 0.9976991E+00, 0.9968831E+00, 0.1004150E+01, 0.9296131E+00
 0.1301000E+00, -.1294720E+00, 0.1073424E+01, -.1385895E+00, 0.9130010E+00, 0.9972550E+00, 0.9963346E+00, 0.1004884E+01, 0.9174600E+00
 0.1401000E+00, -.1393072E+00, 0.1085997E+01, -.1509873E+00, 0.8992495E+00, 0.9967588E+00, 0.9957396E+00, 0.1005680E+01, 0.9043578E+00
 0.1501000E+00, -.1491137E+00, 0.1099776E+01, -.1638135E+00, 0.8845256E+00, 0.9962059E+00, 0.9950974E+00, 0.1006541E+01, 0.8903120E+00
 0.1601000E+00, -.1588881E+00, 0.1114831E+01, -.1771148E+00, 0.8688394E+00, 0.9955907E+00, 0.9944074E+00, 0.1007468E+01, 0.8753284E+00
 0.1701000E+00, -.1686270E+00, 0.1131235E+01, -.1909416E+00, 0.8522019E+00, 0.9949069E+00, 0.9936686E+00, 0.1008462E+01, 0.8594136E+00
 0.1801000E+00, -.1783264E+00, 0.1149072E+01, -.2053487E+00, 0.8346250E+00, 0.9941472E+00, 0.9928803E+00, 0.1009524E+01, 0.8425747E+00
 0.1901000E+00, -.1879822E+00, 0.1168435E+01, -.2203960E+00, 0.8161217E+00, 0.9933029E+00, 0.9920415E+00, 0.1010657E+01, 0.8248195E+00
 0.2001000E+00, -.1975895E+00, 0.1189424E+01, -.2361487E+00, 0.7967057E+00, 0.9923641E+00, 0.9911513E+00, 0.1011862E+01, 0.8061563E+00
 0.2101000E+00, -.2071433E+00, 0.1212151E+01, -.2526781E+00, 0.7763923E+00, 0.9913189E+00, 0.9902084E+00, 0.1013140E+01, 0.7865944E+00
 0.2201000E+00, -.2166377E+00, 0.1236739E+01, -.2700621E+00, 0.7551976E+00, 0.9901538E+00, 0.9892118E+00, 0.1014494E+01, 0.7661441E+00
 0.2301000E+00, -.2260661E+00, 0.1263319E+01, -.2883857E+00, 0.7331394E+00, 0.9888525E+00, 0.9881601E+00, 0.1015927E+01, 0.7448165E+00
 0.2401000E+00, -.2354213E+00, 0.1292033E+01, -.3077415E+00, 0.7102369E+00, 0.9873960E+00, 0.9870519E+00, 0.1017440E+01, 0.7226242E+00
 0.2501000E+00, -.2446949E+00, 0.1323032E+01, -.3282292E+00, 0.6865112E+00, 0.9857616E+00, 0.9858858E+00, 0.1019037E+01, 0.6995810E+00
